id_emplacement,cd_postal,lb_ville
786,78124,Mareil-sur-Mauldre 
787,95450,Ableiges 
788,77111,Soignolles-en-Brie 
789,77910,Chambry 
790,77133,Machault 
791,77410,Précy-sur-Marne 
792,78910,Tacoignières 
793,77940,La Brosse-Montceaux 
794,77720,Saint-Méry 
795,78270,Gommecourt 
796,78490,Grosrouvre 
797,77130,Varennes-sur-Seine 
798,78830,Bonnelles 
799,78910,Civry-la-Forêt 
800,78930,Boinville-en-Mantois 
801,78,Versailles 
802,77171,Sourdun 
803,78730,Ponthévrard 
804,77830,Valence-en-Brie 
805,77950,Montereau-sur-le-Jard 
806,93410,Vaujours 
807,78870,Bailly 
808,77950,Maincy 
809,91640,Fontenay-lès-Briis 
810,77160,Chalautre-la-Petite 
811,77310,Pringy 
812,95270,Chaumontel 
813,95220,Pierrelaye 
814,77115,Sivry-Courtry 
815,91150,Brouy 
816,91470,Limours 
817,78930,Auffreville-Brasseuil 
818,77600,Bussy-Saint-Martin 
819,95570,Attainville 
820,95570,Villaines-sous-Bois 
821,78910,Orvilliers 
822,77710,Saint-Ange-le-Viel 
823,91510,Janville-sur-Juine 
824,77139,Marcilly 
825,91720,Boigneville 
826,95640,Haravilliers 
827,77730,Citry 
828,78600,Le Mesnil-le-Roi 
829,77910,Barcy 
830,91610,Ballancourt-sur-Essonne 
831,77720,Champeaux 
832,77520,Montigny-Lencoup 
833,78790,Montchauvet 
834,78930,Vert 
835,77090,Collégien 
836,77150,Férolles-Attilly 
837,91890,Videlles 
838,91740,Pussay 
839,77320,Jouy-sur-Morin 
840,91770,Saint-Vrain 
841,78250,Mézy-sur-Seine 
842,78440,Issou 
843,78930,Breuil-Bois-Robert 
844,95450,Sagy 
845,77450,Trilbardou 
846,78910,Flexanville 
847,78640,Saint-Germain-de-la-Grange 
848,78125,Mittainville 
849,91640,Briis-sous-Forges 
850,77600,Conches-sur-Gondoire 
851,77630,Arbonne-la-Forêt 
852,77720,Bombon 
853,91790,Boissy-sous-Saint-Yon 
854,91470,Pecqueuse 
855,77480,Jaulnes 
